Region,Peak Demand (in %),% of time of year
North-Eastern Region,86.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,88.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,85.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,84.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,84.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,84.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,84.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,84.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,84.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,84.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,84.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,4.0
Eastern Region,90.0,4.0
North-Eastern Region,84.0,4.0
Northen Region,87.0,4.0
Southern Region,95.0,4.0
Western Region,95.0,4.0
National,94.0,5.0
Eastern Region,90.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,95.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,90.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,95.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,90.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,95.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,90.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,95.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,90.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,95.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,90.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,95.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,90.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,95.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,95.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,95.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,95.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,84.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,95.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,87.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,83.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,82.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,82.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,82.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,82.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,82.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,82.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,82.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,82.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,82.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,5.0
Eastern Region,89.0,5.0
North-Eastern Region,82.0,5.0
Northen Region,86.0,5.0
Southern Region,94.0,5.0
Western Region,94.0,5.0
National,94.0,6.0
Eastern Region,89.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,94.0,6.0
Eastern Region,89.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,94.0,6.0
Eastern Region,89.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,94.0,6.0
Eastern Region,89.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,94.0,6.0
Eastern Region,89.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,94.0,6.0
Eastern Region,89.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,94.0,6.0
Eastern Region,89.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,94.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,94.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,82.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,86.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,94.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,93.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,93.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,93.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,93.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,93.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,93.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,93.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,93.0,6.0
Western Region,94.0,6.0
National,93.0,6.0
Eastern Region,88.0,6.0
North-Eastern Region,81.0,6.0
Northen Region,85.0,6.0
Southern Region,93.0,6.0
Western Region,94.0,6.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,81.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,81.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,81.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,81.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,94.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,85.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,84.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,84.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,84.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,84.0,7.0
Southern Region,93.0,7.0
Western Region,93.0,7.0
National,93.0,7.0
Eastern Region,88.0,7.0
North-Eastern Region,80.0,7.0
Northen Region,84.0,7.0
Southern Region,93.0,7.0
